Object ID,Pathways,Chimeric?,Common-Name,Credits,Data-Source,Engineered?,Enzymes-Not-Used,Hypothetical-Reactions,In-Pathway,Key-Reactions,Names,Primary-Products,Primary-Reactants,Rate-Limiting-Step,Reaction-List,Regulated-By,Score,Species,Sub-Pathways,Synonyms,Taxonomic-Range,Variants?,Super-Pathways,Link
PWY-7131,PWY-7131,,CMP-legionaminate biosynthesis II,SRI // caspi,,,,,,,CMP-legionaminate biosynthesis II,CPD-13167,,,RXN-12239 // RXN-12238 // RXN-13574,,,TAX-446 // TAX-272624,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7131
PWY-7529,PWY-7529,,CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis,SRI // fulcher,,,,,PWY-6145,RXN-15654,CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis,CPD-16881,,,RXN-15655 // RXN-15654 // RXN-15653 // RXN-15652,,,TAX-316275,,,TAX-2,,PWY-6145,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7529
PWY-6138,PWY-6138,,CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes),SRI // fulcher,,,,,PWY-6145,RXN-9988 // NANK-RXN // RXN-9987,CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes) // CMP-<i>N</i>-acetylneuraminic acid biosynthesis I (eukaryotes),CMP-N-ACETYL-NEURAMINATE,,,RXN-9990 // RXN-9989 // RXN-9988 // NANK-RXN // RXN-9987,,,TAX-9606 // TAX-10090 // TAX-10116,,CMP-<i>N</i>-acetylneuraminic acid biosynthesis I (eukaryotes),TAX-2759,,PWY-6145,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6138
PWY-6139,PWY-6139,,CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria),SRI // fulcher,,,,,PWY-6145,RXN-9990 // N-ACETYLNEURAMINATE-SYNTHASE-RXN // RXN-9987,CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria) // CMP-<i>N</i>-acetylneuraminic acid biosynthesis II (bacteria),CMP-N-ACETYL-NEURAMINATE,,,RXN-9990 // N-ACETYLNEURAMINATE-SYNTHASE-RXN // RXN-9987,,,TAX-851 // TAX-197 // TAX-1392869 // TAX-491 // TAX-203119 // TAX-1311 // TAX-730,,CMP-<i>N</i>-acetylneuraminic acid biosynthesis II (bacteria),TAX-2,,PWY-6145,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6139
PWY-6144,PWY-6144,,CMP-<i>N</i>-glycoloylneuraminate biosynthesis,SRI // fulcher,,,,,PWY-6145,,CMP-<i>N</i>-glycoloylneuraminate biosynthesis,CPD-262,,,1.14.18.2-RXN,,,TAX-7604 // TAX-9823 // TAX-10090,,,TAX-2759,,PWY-6145,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6144
PWY-6143,PWY-6143,,CMP-pseudaminate biosynthesis,SRI // caspi,,,,,,,CMP-pseudaminate biosynthesis // CMP-pseudaminic acid biosynthesis,CPD-10755,,,RXN-9998 // RXN-9999 // RXN-10000 // RXN-10001 // RXN-10002 // RXN-10003,,,TAX-195 // TAX-197 // TAX-85962 // TAX-287,,CMP-pseudaminic acid biosynthesis,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6143
PWYQT-4429,PWYQT-4429,,CO<sub>2</sub> fixation into oxaloacetate (anaplerotic),SRI // tissier // THE-ARABIDOPSIS-INFORMATION-RESOURCE // caspi,,,,,,,CO<sub>2</sub> fixation into oxaloacetate (anaplerotic) // CO<sub>2</sub> fixation into oxaloacetic acid (anaplerotic),OXALACETIC_ACID,CARBON-DIOXIDE,,RXN0-5224 // PEPCARBOX-RXN,,,TAX-187420 // ORG-5993,,CO<sub>2</sub> fixation into oxaloacetic acid (anaplerotic),TAX-1117 // TAX-2157 // TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWYQT-4429
PWY-7377,PWY-7377,,"cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)",SRI // caspi,,,,,PWY-5507,,"cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)",,,,RXN-14315 // 2.1.1.151-RXN // 4.99.1.3-RXN // DIMETHUROPORDEHYDROG-RXN // RXN-8767 // RXN-8766 // RXN-8764 // RXN-8762 // RXN-8761 // UROPORIIIMETHYLTRANSA-RXN // RXN-8675 // RXN-8769 // RXN-8768 // RXN-8765 // RXN-8763,,,TAX-1404 // TAX-1097 // TAX-173 // TAX-2190 // TAX-145262 // TAX-1744 // TAX-1752 // TAX-90371,,,TAX-2157 // TAX-2,,PWY-5507,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7377
PWY-7376,PWY-7376,,"cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)",SRI // caspi,,,,,P381-PWY,R342-RXN,"cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)",,,,RXN-13826 // RXN-13824 // RXN-8675 // R342-RXN // R341-RXN // 5.4.1.2-RXN // 1.3.1.54-RXN // R322-RXN // 2.1.1.133-RXN // 2.1.1.131-RXN // R321-RXN // 2.1.1.130-RXN // UROPORIIIMETHYLTRANSA-RXN,,,TAX-29459 // TAX-43306 // TAX-1061 // TAX-382,,,TAX-2 // TAX-2157,,P381-PWY,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7376
PWY-7974,PWY-7974,,cobalamin salvage (eukaryotic),SRI // caspi,,,,,,,cobalamin salvage (eukaryotic),ADENOSYLCOBALAMIN // CPD-9037,,,RXN-19364 // 2.1.1.135-RXN // RXN-19363 // RXN-19349 // RXN-19348 // COBALADENOSYLTRANS-RXN // RXN-19334 // 1.6.99.12-RXN,,,TAX-9606,,,TAX-2759,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7974
PWY-5843,PWY-5843,,cocaine biosynthesis,THE-ARABIDOPSIS-INFORMATION-RESOURCE // zhang,,,,,,,cocaine biosynthesis,,,,RXN-13587 // RXN-9203 // RXN-9202 // RXN-9195 // RXN-9196 // RXN-9197 // RXN-9198 // RXN-9199 // RXN-9201,,,TAX-289672,,,TAX-22118,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5843
PWY-7880,PWY-7880,,coelimycin P1 biosynthesis,SRI // caspi,,,,,,,coelimycin P1 biosynthesis,,,,RXN-18638 // RXN-18637 // RXN-18636 // RXN-18635 // RXN-18634 // RXN-18633 // RXN-18632 // RXN-18631 // RXN-18630 // RXN-18629 // RXN-18628,,,TAX-100226,,,TAX-85011,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7880
COA-PWY,COA-PWY,,coenzyme A biosynthesis I (bacteria),SRI // O-21 // O-28 // keseler // arnaud // THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,PANTOSYN-PWY,DEPHOSPHOCOAKIN-RXN,coenzyme A biosynthesis I (bacteria) // CoA biosynthesis,CO-A,,,P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN,,,TAX-511145,,CoA biosynthesis,TAX-2,,PANTOSYN-PWY,HTTPS://metacyc.org/pathway?orgid=META&id=COA-PWY
PWY-7851,PWY-7851,,coenzyme A biosynthesis II (eukaryotic),SRI // caspi,,,,,PWY-4221 // COA-PWY-1,RXN66-555,coenzyme A biosynthesis II (eukaryotic) // CoA biosynthesis,CO-A,,,RXN66-555 // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN,,,TAX-9606 // TAX-4932 // ORG-5993,,CoA biosynthesis,TAX-2759,,COA-PWY-1,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7851
PWY-8342,PWY-8342,,coenzyme A biosynthesis III (archaea),SRI // caspi,,,,,,P-PANTOCYSLIG-RXN // RXN-22912,coenzyme A biosynthesis III (archaea) // CoA biosynthesis,CO-A,,,RXN-22912 // P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // PANTEPADENYLYLTRAN-RXN,,,TAX-2190 // TAX-29292 // TAX-311400,,CoA biosynthesis,TAX-2157,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8342
P241-PWY,P241-PWY,,coenzyme B biosynthesis,SRI // caspi // O-18 // pellegrini-toole,,,,,,,coenzyme B biosynthesis // 7-mecaptoheptanoylthreonine phosphate biosynthesis // CoB biosynthesis,,,,RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN // R227-RXN // R226-RXN // R225-RXN // R224-RXN // R218-RXN // R217-RXN // R216-RXN // R215-RXN // R214-RXN // R213-RXN // R212-RXN // R211-RXN,,,TAX-2190 // TAX-2188 // TAX-2210,,7-mecaptoheptanoylthreonine phosphate biosynthesis // CoB biosynthesis,TAX-183988 // TAX-224756 // TAX-183939 // TAX-183925,,,HTTPS://metacyc.org/pathway?orgid=META&id=P241-PWY
PWY-5207,PWY-5207,,coenzyme B/coenzyme M regeneration I (methanophenazine-dependent),SRI // caspi,,,,,,,coenzyme B/coenzyme M regeneration I (methanophenazine-dependent) // CoB/CoM regeneration I // CoB-CoM heterodisulfide reduction I // coenzyme B-coenzyme M heterodisulfide reduction I,,,,COENZYME-F420-HYDROGENASE-RXN // RXN-8106 // RXN-7733 // 1.8.98.1-RXN,,,TAX-2208 // TAX-2209 // TAX-2210,,CoB/CoM regeneration I // CoB-CoM heterodisulfide reduction I // coenzyme B-coenzyme M heterodisulfide reduction I,TAX-94695,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5207
PWY-7865,PWY-7865,,coenzyme B/coenzyme M regeneration II (ferredoxin-dependent),SRI // caspi,,,,,,,coenzyme B/coenzyme M regeneration II (ferredoxin-dependent) // CoB/CoM regeneration II // CoB-CoM heterodisulfide reduction II // coenzyme B-coenzyme M heterodisulfide reduction II,,,,RXN-18520,,,TAX-188937 // TAX-2208 // TAX-2209 // TAX-2210,,CoB/CoM regeneration II // CoB-CoM heterodisulfide reduction II // coenzyme B-coenzyme M heterodisulfide reduction II,TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7865
PWY-7866,PWY-7866,,coenzyme B/coenzyme M regeneration III (coenzyme F<sub>420</sub>-dependent),SRI // caspi,,,,,,,coenzyme B/coenzyme M regeneration III (coenzyme F<sub>420</sub>-dependent) // CoB/CoM regeneration III // CoB-CoM heterodisulfide reduction III // coenzyme B-coenzyme M heterodisulfide reduction III,,,,RXN-18528,,,TAX-188937 // TAX-2208 // TAX-2209 // TAX-2210,,CoB/CoM regeneration III // CoB-CoM heterodisulfide reduction III // coenzyme B-coenzyme M heterodisulfide reduction III,TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7866
PWY-7867,PWY-7867,,coenzyme B/coenzyme M regeneration IV (H<sub>2</sub>-dependent),SRI // caspi,,,,,,,coenzyme B/coenzyme M regeneration IV (H<sub>2</sub>-dependent) // CoB/CoM regeneration IV // CoB-CoM heterodisulfide reduction IV // coenzyme B-coenzyme M heterodisulfide reduction IV,,,,RXN-18521,,,TAX-145263 // TAX-145262,,CoB/CoM regeneration IV // CoB-CoM heterodisulfide reduction IV // coenzyme B-coenzyme M heterodisulfide reduction IV,TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7867
PWY-7868,PWY-7868,,coenzyme B/coenzyme M regeneration V (formate-dependent),SRI // caspi,,,,,,,coenzyme B/coenzyme M regeneration V (formate-dependent) // CoB/CoM regeneration V // CoB-CoM heterodisulfide reduction V // coenzyme B-coenzyme M heterodisulfide reduction V,,,,RXN-18529,,,TAX-39152,,CoB/CoM regeneration V // CoB-CoM heterodisulfide reduction V // coenzyme B-coenzyme M heterodisulfide reduction V,TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7868
P261-PWY,P261-PWY,,coenzyme M biosynthesis I,O-18 // pellegrini-toole,,,,,,,coenzyme M biosynthesis I // CoM biosythesis // 2-mercaptoethanesulfonic acid biosynthesis,,,,4.4.1.19-RXN // R234-RXN // R233-RXN // R232-RXN // R231-RXN // R230-RXN // R229-RXN,,,TAX-78245 // TAX-2190 // TAX-2162 // ORG-5913,,CoM biosythesis // 2-mercaptoethanesulfonic acid biosynthesis,TAX-1224 // TAX-183988 // TAX-224756 // TAX-183939 // TAX-183925,,,HTTPS://metacyc.org/pathway?orgid=META&id=P261-PWY
PWY-6643,PWY-6643,,coenzyme M biosynthesis II,SRI // caspi,,,,,,,coenzyme M biosynthesis II // CoM biosynthesis II,,,,RXN-11108 // RXN-11737 // R234-RXN // R233-RXN // R232-RXN // R231-RXN,,,TAX-2214,,CoM biosynthesis II,TAX-2191 // TAX-94695,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6643
PWY-8243,PWY-8243,,colanic acid (<i>Escherichia coli</i> K12) biosynthesis,SRI // caspi,,,,,,,colanic acid (<i>Escherichia coli</i> K12) biosynthesis,,,,RXN-22216 // RXN-22213 // RXN-22217 // RXN-22214 // RXN-22215 // RXN0-7345 // RXN0-7344 // RXN0-7343 // RXN0-7342 // RXN0-7341 // RXN-11791,,,TAX-511145,,,TAX-543,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8243
COLANSYN-PWY,COLANSYN-PWY,,colanic acid building blocks biosynthesis,SRI // keseler // O-18 // pellegrini-toole // caspi,,,,,,,colanic acid building blocks biosynthesis,CPD-12575 // UDP-GLUCURONATE // CPD-14553 // CPD-13118,,,PWY-7346 // PWY-7344 // PWY-7343 // PWY-5659 // PWY-66 // UDPGLUCEPIM-RXN,,,TAX-511145,PWY-7346 // PWY-7344 // PWY-7343 // PWY-5659 // PWY-66,,TAX-1224,,,HTTPS://metacyc.org/pathway?orgid=META&id=COLANSYN-PWY
PWY-5846,PWY-5846,,colchicine biosynthesis,O-28 // hartmut // O-27 // pujar,,,,RXN-9209,,,colchicine biosynthesis,,,,RXN-13557 // RXN-13556 // RXN-9210 // RXN-9209 // RXN-9207 // RXN-9206,,,TAX-45005,,,TAX-13444,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5846
PWY-8117,PWY-8117,,colibactin biosynthesis,SRI // caspi,,,,,,,colibactin biosynthesis,,,,RXN-23364 // RXN-21153 // RXN-21152 // TRANS-RXN-393 // RXN-21151 // RXN-21101 // RXN-21102 // RXN-21131 // RXN-21130 // RXN-21129 // RXN-21127 // RXN-21128 // RXN-21126 // RXN-21125 // RXN-21124 // RXN-21123 // ENTF-RXN // RXN-21122 // RXN-21121 // RXN-11115 // RXN-21118 // RXN-21120 // RXN-9376 // RXN-21117 // RXN-21119 // RXN-21116 // RXN-21115 // RXN-21114 // RXN-21112 // RXN-21111 // RXN-21110 // RXN-21109 // RXN-21108 // RXN-17190 // RXN-21104 // RXN-21105 // RXN-21106 // RXN-21107,,,TAX-714962,,,TAX-562,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8117
PWY-5133,PWY-5133,,colupulone and cohumulone biosynthesis,SRI // caspi,,,,,PWY-5134,,colupulone and cohumulone biosynthesis // bitter acid biosynthesis,,,,RXN-18449 // RXN-18447 // RXN-7813 // RXN-7812 // RXN-7809 // RXN-7805,,,TAX-3486,,bitter acid biosynthesis,TAX-3481,,PWY-5134,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5133
PWY-7920,PWY-7920,,complex <i>N</i>-linked glycan biosynthesis (plants),SRI // caspi,,,,,,,complex <i>N</i>-linked glycan biosynthesis (plants),,,,RXN-19011 // RXN-19010 // RXN-19009 // RXN-19008 // RXN-19007 // RXN-19006 // RXN-19005 // 2.4.2.38-RXN // 2.4.1.143-RXN // 3.2.1.114-RXN // 2.4.1.101-RXN,,,TAX-3702,,,TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7920
PWY-7426,PWY-7426,,complex <i>N</i>-linked glycan biosynthesis (vertebrates),SRI // caspi,,,,,,,complex <i>N</i>-linked glycan biosynthesis (vertebrates),,,,RXN-19003 // RXN-19002 // RXN-19001 // 2.4.1.68-RXN // 2.4.1.155-RXN // 2.4.1.144-RXN // 2.4.1.145-RXN // 2.4.1.143-RXN // 3.2.1.114-RXN // 2.4.1.101-RXN,,,TAX-9031 // TAX-9606,,,TAX-7742,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7426
PWY-116,PWY-116,,coniferin metabolism,THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,,,coniferin metabolism,,,,CONIFERIN-BETA-GLUCOSIDASE-RXN // 2.4.1.111-RXN,,,TAX-3827 // TAX-3329 // TAX-3353 // TAX-3339 // TAX-3348 // TAX-1831 // ORG-5993,,,TAX-2 // TAX-58024,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-116
PWY-7643,PWY-7643,,coniferyl alcohol 9-methyl ether biosynthesis,O-28 // hartmut,,,,,,,coniferyl alcohol 9-methyl ether biosynthesis,,,,RXN-16476,,,TAX-407263 // TAX-407264,,,TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7643
PWY0-43,PWY0-43,,conversion of succinate to propanoate,SRI // keseler // O-18 // pellegrini-toole,,,,,,,conversion of succinate to propanoate // conversion of succinate to propionate,,,,RXN0-268 // RXN0-310 // METHYLMALONYL-COA-MUT-RXN,,,TAX-511145,,conversion of succinate to propionate,TAX-1224,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY0-43
PWY-8030,PWY-8030,,coptisine biosynthesis,SRI // caspi,,,,,,,coptisine biosynthesis,,,,RXN-20166 // 1.1.3.32-RXN // 1.14.21.2-RXN // RETICULINE-OXIDASE-RXN,,,TAX-71251 // TAX-261450 // TAX-3442 // TAX-261448 // TAX-3469,,,TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8030
PWY-7914,PWY-7914,,coral bioluminescence,SRI // caspi,,,,,,,coral bioluminescence // Cnidaria bioluminescence,,,,RXN-18875 // RXN-18867 // RXN-18865 // RXN-18866 // RXN-18859 // RXN-18858 // RENILLA-LUCIFERIN-SULFOTRANSFERASE-RXN,,,TAX-37510 // TAX-6136,,Cnidaria bioluminescence,TAX-6073,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7914
PWY-8438,PWY-8438,,corallopyronin A biosynthesis,SRI // caspi,,,,,,,corallopyronin A biosynthesis,,,,RXN-23752 // RXN-23774 // RXN-23773 // RXN-23753 // RXN-23768 // RXN-23766 // RXN-23765 // RXN-23764 // RXN-23763 // RXN-23762 // RXN-23761 // RXN-23760 // RXN-23759 // RXN-23758 // RXN-23757 // RXN-23756 // RXN-23755 // RXN-23754 // RXN-23751 // RXN-23750 // RXN-23749 // RXN-23748 // RXN-23747 // RXN-23746 // RXN-23740 // RXN-23741 // RXN-9376 // RXN-23742 // RXN-23744 // RXN-23745,,,TAX-184914,,,TAX-31,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8438
PWY-5476,PWY-5476,,cornusiin E biosynthesis,THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,PWY-5478,,cornusiin E biosynthesis,,,,RXN-8720 // RXN-8719,,,TAX-29775,,,TAX-3398,,PWY-5478,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5476
PWY-6540,PWY-6540,,costunolide biosynthesis,hartmut // O-28 // pujar,,,,,,,costunolide biosynthesis,,,,RXN-20055 // RXN-20050 // RXN-20049 // RXN-15460 // RXN-15459 // RXN-15458 // RXN-11527 // RXN-8970 // RXN-8969 // RXN-8962,,,TAX-35608 // TAX-171760 // TAX-13427 // TAX-4232 // TAX-4236 // TAX-28511 // TAX-59297 // TAX-127999,,,TAX-33090 // TAX-131567,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6540
PWY-5176,PWY-5176,,coumarin biosynthesis (via 2-coumarate),THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,,,coumarin biosynthesis (via 2-coumarate),,,,RXN-8037 // RXN-8036 // RXN-8035 // 2.4.1.114-RXN // TRANS-CINNAMATE-2-MONOOXYGENASE-RXN,,,TAX-47082,,,TAX-3398,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5176
PWY-5319,PWY-5319,,coumarin metabolism (to melilotic acid),THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,,,coumarin metabolism (to melilotic acid),MELILOTATE,COUMARIN,,DIHYDROCOUMARIN-LIPASE-RXN // RXN-8250,,,TAX-47082,,,TAX-3398,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5319
PWY-7398,PWY-7398,,coumarins biosynthesis (engineered),SRI // caspi,,T,AT2G40890-MONOMER // AT3G21230-MONOMER // AT1G65060-MONOMER // AT1G67990-MONOMER // AT4G34050-MONOMER,,,,coumarins biosynthesis (engineered),,,,RXN-16763 // RXN-16762 // RXN-14988 // RXN-1126 // RXN-12965 // RXN-12963 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-12350 // RXN-12349 // RXN-14987 // RXN-14990 // 4-COUMARATE--COA-LIGASE-RXN // RXN-9697,,,TAX-566546 // TAX-4120 // TAX-4043 // TAX-5535 // ORG-5993,,,TAX-4751 // TAX-33090 // TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7398
PWY-6332,PWY-6332,,coumestrol biosynthesis,zhang // THE-ARABIDOPSIS-INFORMATION-RESOURCE // karthik,,,,,,,coumestrol biosynthesis,,,,RXN-11640 // RXN-11643 // RXN-11642 // RXN-4502 // RXN-11641 // RXN-4501,,,TAX-157791,,,TAX-3803,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6332
GLYCGREAT-PWY,GLYCGREAT-PWY,,creatine biosynthesis,SRI // fulcher,,,,,,GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN // GLYCINE-AMIDINOTRANSFERASE-RXN,creatine biosynthesis // glycine degradation II // glycine degradation,CREATINE,GLY,,GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN // GLYCINE-AMIDINOTRANSFERASE-RXN,,,TAX-9606 // TAX-10116,,glycine degradation II // glycine degradation,TAX-7742,,,HTTPS://metacyc.org/pathway?orgid=META&id=GLYCGREAT-PWY
PWY-6158,PWY-6158,,creatine phosphate biosynthesis,SRI // fulcher,,,,,,,creatine phosphate biosynthesis,,,,CREATINE-KINASE-RXN,,,TAX-9986 // TAX-9031 // TAX-9606,,,TAX-7742,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6158
CRNFORCAT-PWY,CRNFORCAT-PWY,,creatinine degradation I,SRI // caspi // hying,,,,,,,creatinine degradation I // creatinine catabolism,GLY,CREATININE,,SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // CREATINASE-RXN // CREATININASE-RXN,,,TAX-32002 // TAX-68999 // TAX-303 // TAX-243975 // TAX-43143 // TAX-79681 // ORG-5948,,creatinine catabolism,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=CRNFORCAT-PWY
PWY-4722,PWY-4722,,creatinine degradation II,SRI // caspi,,,,,,,creatinine degradation II,GLY,CREATININE,,CREATININE-DEAMINASE-RXN // SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // N-CARBAMOYLSARCOSINE-AMIDASE-RXN // 3.5.2.14-RXN,,,TAX-1667 // ORG-5940,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-4722
PWY-4741,PWY-4741,,creatinine degradation III,SRI // caspi,,,,,,,creatinine degradation III,METHYLAMINE,CREATININE,,METHYLGUANIDINASE-RXN // RXN-7261,,,TAX-316 // ORG-5861,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-4741
PWY-8296,PWY-8296,,cremeomycin biosynthesis,SRI // caspi,,,,,,RXN-22533,cremeomycin biosynthesis,,,,RXN-21732 // RXN-22533 // RXN-21733 // RXN-13866 // RXN-13865 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN,,,TAX-66881,,,TAX-1760,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8296
PWY-6013,PWY-6013,,crepenynate biosynthesis,SRI // PMN // caspi // THE-ARABIDOPSIS-INFORMATION-RESOURCE // zhang,,,,,,,crepenynate biosynthesis // crepenynic acid biosynthesis,,,,1.14.99.33-RXN,,,TAX-75102 // TAX-72610,,crepenynic acid biosynthesis,TAX-4751 // TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6013
PWY-5397,PWY-5397,,crocetin biosynthesis,THE-ARABIDOPSIS-INFORMATION-RESOURCE // tissier,,,,,,,crocetin biosynthesis // safranal biosynthesis,,,,RXN-15980 // RXN-15979 // RXN-15978 // RXN-8477 // RXN-8470,,,TAX-82528 // TAX-114476 // TAX-41228 // ORG-5910,,safranal biosynthesis,TAX-85894 // TAX-4136 // TAX-24966 // TAX-26339,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5397
PWY-5398,PWY-5398,,crocetin esters biosynthesis,SRI // caspi // O-28 // hartmut // THE-ARABIDOPSIS-INFORMATION-RESOURCE // tissier,,,,,,,crocetin esters biosynthesis // crocin biosynthesis,,,,RXN-8471 // RXN-8472 // RXN-8473 // RXN-8474 // RXN-8475 // RXN-8476,,,TAX-82528 // TAX-114476,,crocin biosynthesis,TAX-24966 // TAX-26339,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5398
PWY-7401,PWY-7401,,crotonate fermentation (to acetate and cyclohexane carboxylate),SRI // caspi,,,,,,R282-RXN // R265-RXN,crotonate fermentation (to acetate and cyclohexane carboxylate) // crotonic acid fermentation (to acetic acid and cyclohexane carboxylate) // crotoate fermentation,ACET // CPD-575,CROTONATE,,RXN-15013 // RXN-15012 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-11662 // RXN-11667 // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN // RXN-15010 // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 4.2.1.100-RXN // R265-RXN // R282-RXN // RXN-15008 // PWY-5535,,,TAX-316277,PWY-5535,crotonic acid fermentation (to acetic acid and cyclohexane carboxylate) // crotoate fermentation,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7401
PWY-8100,PWY-8100,,crotonosine biosynthesis,SRI // caspi,,,,,,,crotonosine biosynthesis,,,,RXN-5141 // RXN-19234 // RXN-19233 // RXN-19231,,,TAX-912362,,,TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8100
